x,varpi,defect,choi_trace_distance,ratio
0.0001107411750642727,2.0,2.396144923683386376402e-21,2.618991003549657966987e-21,0.914911475616282594
0.00011653696170518647,2.0,3.092317943048959764328e-21,3.379921491499352939084e-21,0.914908216308062659
0.00012263607854615907,2.0,3.990755374314158808576e-21,4.361935180576286789357e-21,0.914904786317093155
0.00012905440077652511,2.0,5.150222323329901502256e-21,5.629266257924767080156e-21,0.914901176699453996
0.00013580863443476098,2.0,6.646557169787836787403e-21,7.264811692883739549761e-21,0.914897378041950463
0.0001429163598920798,2.0,8.577631898503491866313e-21,9.375553569315782332307e-21,0.914893380437426062
0.00015039607761179697,2.0,1.106975355140468472538e-20,1.209955683435962401995e-20,0.914889173458769722
0.00015826725630357428,2.0,1.428592548276895591139e-20,1.561500018791967229138e-20,0.914884746131547501
0.00016655038359787952,2.0,1.843650873648541141859e-20,2.015183082501182770124e-20,0.914880086905185226
0.00017526701937256237,2.0,2.379298083763614215755e-20,2.600680536925622427078e-20,0.914875183622624393
0.00018443985187034567,2.0,3.070569186731571777932e-20,3.356290082632275921538e-20,0.914870023488369469
0.00019409275675330204,2.0,3.962677911740162149948e-20,4.331436522857382146755e-20,0.914864593034840182
0.00020425085924802476,2.0,5.113973899755427214748e-20,5.58990465332671123399e-20,0.914858878086937656
0.0002149405995432474,2.0,6.599759025319487303735e-20,7.2140114405383783268e-20,0.914852863724728214
0.00022618980161013657,2.0,8.517212442293093499205e-20,9.309990390169769619535e-20,0.914846534244143334
0.00023802774562438494,2.0,1.099174645601864666239e-19,1.201494029614716660896e-19,0.91483987311558862
0.00025048524417861244,2.0,1.418520889835420035603e-19,1.550579288632216644602e-19,0.914832862940348699
0.00026359472248344213,2.0,1.830646843942874951311e-19,2.001088593561751531371e-19,0.914825485404668605
0.00027739030276600815,2.0,2.362507510737258320423e-19,2.582489883948922141167e-19,0.914817721231385567
0.00029190789308557245,2.0,3.048888939504921970818e-19,3.332812757666404333389e-19,0.914809550128978015
0.0003071852807974215,2.0,3.93468328613951691581e-19,4.301135982604463798611e-19,0.914800950737891099
0.0003232622309083241,2.0,5.077824805465455595656e-19,5.550797730368352211374e-19,0.914791900573990106
0.0003401805895795502,2.0,6.553078779519656601787e-19,7.163538511089369948962e-19,0.914782375968984659
0.0003579843930468606,2.0,8.456931161747170978577e-19,9.244847795395959475582e-19,0.914772352007657709
0.00037671998224096513,2.0,1.091389869533465983497e-18,1.193086404128830936454e-18,0.914761802461723773
0.00039643612340679803,2.0,1.408467215047526205765e-18,1.539727944978285975529e-18,0.914750699720130834
0.00041718413503556424,2.0,1.817662519337391017832e-18,1.987083189955004127799e-18,0.914739014715609616
0.0004390180214399388,2.0,2.345737608634426494511e-18,2.564413573399658855196e-18,0.914726716847262554
0.0004619946133201065,2.0,3.02722890367221478149e-18,3.309482146276899335374e-18,0.914713773898972757
0.0004861737156865089,2.0,3.906705961309668613203e-18,4.271023627761129766757e-18,0.91470015195340035
0.0005116182635243288,2.0,5.041686107142999184451e-18,5.511932100403397778336e-18,0.914685815301320014
0.0005383944856048768,2.0,6.506395741288630804082e-18,7.113374850511096590119e-18,0.914670726346038929
0.000566572076870269,2.0,8.396624257290785273131e-18,9.1801014323350492345e-18,0.914654845502618937
0.0005962243798400871,2.0,1.083598795046237491966e-17,1.184729521119980677679e-17,0.914638131091610225
0.000627428575512191,2.0,1.398401347654789623513e-17,1.528941553003699636849e-17,0.914620539226986304
0.0006602658842545858,2.0,1.804656938010253656131e-17,1.97316088446163794014e-17,0.914602023697951364
0.0006948217772112279,2.0,2.328932771991240665564e-17,2.546443520093407364204e-17,0.91458253584427112
0.0007311861987720391,2.0,3.005513590951880563835e-17,3.286287327360103661811e-17,0.914562024424757011
0.0007694538006861775,2.0,3.878643451125524932086e-17,4.241084702937295250105e-17,0.914540435478510876
0.0008097241884279447,2.0,5.005418657827775952171e-17,5.473287822828655178437e-17,0.914517712178512967
0.0008521021804565798,2.0,6.459520978767189093429e-17,7.063493504674811710696e-17,0.914493794677110242
0.0008966980810447525,2.0,8.336035186460206032161e-17,9.115714858515759870253e-17,0.914468619942934136
0.0009436279673859069,2.0,1.075766585542605367198e-16,1.176418452458832127754e-16,0.914442121588747354
0.0009930139917277434,2.0,1.388275979668598667534e-16,1.518213447027961641281e-16,0.914414229689687464
0.0010449846993182653,2.0,1.791565852578142909971e-16,1.959312659470755339521e-16,0.914384870591341058
0.0010996753629919438,2.0,2.312005744145489034802e-16,2.528567522347987475641e-16,0.914353966707045803
0.0011572283352669038,2.0,2.983624488894089563059e-16,3.263211787919621363778e-16,0.914321436303778599
0.0012177934188695849,2.0,3.850334783092825182334e-16,4.211296856622090057685e-16,0.914287193275946114
0.0012815282566512921,2.0,4.968803801300919447651e-16,5.434834638287741045334e-16,0.914251146906348959
0.00134859874191156,2.0,6.412157465825620015599e-16,7.013853502124526708311e-16,0.914213201613542349
0.0014191794501963307,2.0,8.27476044288494192681e-16,9.051632589749167712751e-16,0.914173256684764101
0.00149345409369486,2.0,1.067838422243179060281e-15,1.168145683291244683648e-15,0.914131205993544905
0.0015716159994181014,2.0,1.378016632417954556621e-15,1.507533447402377540926e-15,0.914086937701055532
0.0016538686124031722,2.0,1.778288068172583590473e-15,1.945524723736056884683e-15,0.914040333940180882
0.0017404260252537188,2.0,2.29481902292585725072e-15,2.510766893558593620287e-15,0.913991270481240792
0.0018315135353944565,2.0,2.961374750703284678868e-15,3.240230205184389612244e-15,0.913939616378202273
0.0019273682314903857,2.0,3.821526042782297090137e-15,4.181625769083631743083e-15,0.913885233594146448
0.0020282396105570275,2.0,4.931496461053479335558e-15,5.396526028209914398277e-15,0.913827976604665731
0.0021343902273679447,2.0,6.36383620508450395871e-15,6.964391782456792198468e-15,0.913767691977771908
0.0022460963778498807,2.0,8.212162566145631627711e-15,8.987769132511130977767e-15,0.913704217928793267
0.002363648818244264,2.0,1.059727655926335127251e-14,1.159899621732106597993e-14,0.913637383848628027
0.0024873535219070244,2.0,1.367505516653927343394e-14,1.496885835389254991204e-14,0.913567009803601238
0.002617532475716496,2.0,1.764663453149499911476e-14,1.93177576043459631355e-14,0.913492906005042357
0.0027545245181624135,2.0,2.277154897397292673303e-14,2.493012722462675182989e-14,0.913414872246559791
0.002898686221297399,2.0,2.938468359816750216718e-14,3.217303364350664295953e-14,0.913332697306835952
0.0030503928188465525,2.0,3.79181471186894446166e-14,4.152018245401219612665e-14,0.913246158315600608
0.003210039182890904,2.0,4.892949255172950926299e-14,5.358289827660250282598e-14,0.913155020080260408
