varpi,root1,root2,root3
2.435,0.4997835805907569,1.1031262293386257,nan
2.44,0.497737569901016,1.101317950362062,nan
2.445,0.49570438471386347,1.0995134905804687,nan
2.45,0.49368391245836707,1.0977128644520853,nan
2.455,0.4916760419170043,1.09591608577388,nan
2.46,0.4896806632032756,1.0941231676987542,nan
2.465,0.4876976677398267,1.0923341227522991,nan
2.47,0.48572694823705587,1.0905489628490876,nan
2.475,0.483768398672204,1.0887676993085078,nan
2.48,0.4818219142688985,1.0869903428701901,nan
2.485,0.4798873914771538,1.0852169037089874,nan
2.49,0.47796472795380174,1.0834473914495766,nan
2.495,0.4760538225433493,1.08168181518065,nan
2.5,0.4741545752592448,1.0799201834687409,nan
2.505,0.4722668872655463,1.0781625043716576,nan
2.5100000000000002,0.47039066085897613,1.0764087854515931,nan
2.515,0.46852579945135525,1.0746590337878656,nan
2.52,0.46667220755240446,1.0729132559893233,nan
2.525,0.4648297907529028,1.0711714582064336,nan
2.5300000000000002,0.4629984557081938,1.0694336461430474,nan
2.535,0.4611781101220294,1.0676998250678675,nan
2.54,0.4593686627307447,1.0659699998256065,nan
2.545,0.45757002328775076,1.0642441748478613,nan
2.5500000000000003,0.45578210254834095,1.0625223541637123,nan
2.555,0.4540048122548034,1.0608045414100398,nan
2.56,0.4522380651218221,1.0590907398415887,nan
2.565,0.4504817748221745,1.0573809523407656,nan
2.57,0.4487358559727056,1.055675181427191,nan
2.575,0.44700022412057483,1.0539734292670102,nan
